patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,374177821451,18/07/1945,0703152461,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tim mạch,8.63,Quý cô Thành Vũ,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Kim Trần,198473815368,25/07/1961,0333959901,jane07@example.net,"849 Hoàng Làng
Thành phố JohnHuyện, 183667",Huyết áp cao,7.49,Cô Hồng Vũ,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Trung Đức Trần,284189115422,29/10/1979,0827314039,johnle@example.com,"5 John Đường
JaneHuyện, 169403",Khỏe mạnh,3.58,Bà Mai Dương,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Hoàng Phạm,228081726395,29/09/1989,0572334471,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Khỏe mạnh,11.64,Kim Mai Mai,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Hải Mai,098184712240,05/03/1990,0329789084,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Tim mạch,10.7,Duyên Đặng,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Quang Nguyễn,884390874310,10/12/1952,0899409384,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tim mạch,3.96,Thành Đặng,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Cô Linh Nguyễn,135386236486,22/04/1978,0909793930,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,6.53,Anh Châu Bùi,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Kim Mai Nguyễn,546967289806,07/07/1984,0312105168,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tim mạch,11.91,Ông Hưng Mai,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,066642945840,01/07/1970,0840814133,knguyen@example.com,"74 Mai Dãy
Quận JaneQuận, 161324",Tim mạch,5.25,Yến Đặng,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Cô Phương Trần,412410344419,05/07/1997,0925186772,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Khỏe mạnh,6.69,Quang Đức Bùi,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,An Dương,261672666716,14/09/1980,0862851592,tranjohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Khỏe mạnh,4.36,Hà Mai,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Trung Đức Mai,005879445934,09/01/1971,0339983339,tranjane@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tiểu đường,9.58,Nhiên Trí Bùi,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Xuân Đặng,557221665507,11/09/1950,0725248664,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tim mạch,5.57,Huy Hải Vũ,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Ánh Dương,993665102789,06/08/1951,0367093985,tdang@example.org,"54 Jane Tổ
JaneThành phố, 220944",Huyết áp cao,5.55,Phúc Hoàng,07/05/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Thành Tấn Bùi,806589807021,12/08/1979,0566776354,buijohn@example.com,"883 Bùi Ngõ
JanePhường, 989208",Tim mạch,5.74,Nhật Vũ,08/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,563083645432,13/05/1949,0746341378,nle@example.net,"43 Hoàng Tổ
JaneThị xã, 808446",Tim mạch,6.69,Quý cô Vi Lê,28/03/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Vũ Hải Vũ,159753191544,04/10/1951,0822284904,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Khỏe mạnh,7.95,Cô Hà Bùi,29/01/2026
8498e113-b227-462c-b53d-4330cdda24ba,Ông Tùng Phạm,198791459679,03/05/2002,0810204594,duongjohn@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Khỏe mạnh,10.6,Bà Vi Mai,05/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Quang Vũ,900816880685,17/11/1959,0861849792,lejohn@example.org,"3 Jane Số
JaneThị xã, 165290",Khỏe mạnh,11.44,Quý cô Hồng Hoàng,04/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,709538519909,27/02/1957,0770550657,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Khỏe mạnh,6.0,Nhật Xuân Dương,01/05/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,927392123717,13/04/1982,0775541192,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Tiểu đường,7.06,Linh Phạm,27/03/2026
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Mai Phạm,154522194136,16/08/1996,0787868916,johnle@example.com,"45 John Hẻm
JohnXã, 126925",Tiểu đường,11.21,Nhiên Bùi,21/02/2026
9793b9b4-1374-4146-b2c5-bd89b70b3420,Cô Yến Vũ,956358955685,07/06/1997,0917075792,hoangjohn@example.com,"850 Dương Ngõ
JanePhường, 968962",Huyết áp cao,10.73,Anh Huy Lê,07/04/2026
9dac6e83-4524-4ea6-a684-6099f7294951,Quý ông Huy Hoàng,197621241747,14/12/1954,0740817057,johnvu@example.com,"9 Đặng Đường
JaneQuận, 611233",Huyết áp cao,5.57,Bà Vi Vũ,14/02/2026
e14eb70d-b380-473a-989d-9d4ae15ca666,Tùng Nguyễn,013925244403,27/01/1973,0818187086,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Huyết áp cao,5.92,Bà Dương Hoàng,18/02/2026
